name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles,formula_truth,formula_got,formula_raw,class_raw,formula_ok,class_picked,class_acceptable,class_ok,passed
nitrous oxide,[N-]=[N+]=O,inorganic,,,0,44.013,N2O,3,1,True,[N-]=[N+]=O,N2O,N2O,N2O,N,True,inorganic,inorganic,True,True
hydrogen sulfide,S,inorganic,,,0,34.083,H2S,3,2,True,S,H2S,H2S,H2S,N,True,inorganic,inorganic,True,True
phosphoric acid,OP(O)(O)=O,inorganic,,,0,97.994,H3O4P,3,1,True,O=P(O)(O)O,H3O4P,H3PO4,H3PO4,N,True,inorganic,inorganic,True,True
calcium carbonate,[Ca+2].[O-]C([O-])=O,inorganic,,,1,100.086,CCaO3,2,1,True,O=C([O-])[O-].[Ca+2],CCaO3,CaCO3,CaCO3,N,True,inorganic,inorganic,True,True
glucose,OCC1OC(O)C(O)C(O)C1O,other,,,6,180.156,C6H12O6,1,1,False,OCC1OC(O)C(O)C(O)C1O,C6H12O6,C6H12O6,C6H12O6,D,True,alcohol,"alcohol,ether",True,True
caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,other,,,8,194.194,C8H10N4O2,1,1,False,Cn1c(=O)c2c(ncn2C)n(C)c1=O,C8H10N4O2,C8H10N4O2,C8H10N4O2,L,True,aromatic,"amine,aromatic",True,True
nicotine,CN1CCCC1c1cccnc1,other,,,10,162.236,C10H14N2,1,1,False,CN1CCCC1c1cccnc1,C10H14N2,C10H14N2,C10H14N2,K,True,amine,"amine,aromatic",True,True
urea,NC(N)=O,other,,,1,60.056,CH4N2O,2,2,False,NC(N)=O,CH4N2O,CO(NH2)2,CO(NH2)2,J,True,amide,amide,True,True
dioxane,C1COCCO1,other,,,4,88.106,C4H8O2,3,3,False,C1COCCO1,C4H8O2,C₄H₈O₂,C₄H₈O₂,I.,True,ether,ether,True,True
diethyl ether,CCOCC,other,,,4,74.123,C4H10O,3,1,True,CCOCC,C4H10O,C2H5OC2H5,C2H5OC2H5,I,True,ether,ether,True,True
formamide,NC=O,other,,,1,45.041,CH3NO,2,2,False,NC=O,CH3NO,CH₃NO,CH₃NO,J,True,amide,amide,True,True
glycine,NCC(O)=O,other,,,2,75.067,C2H5NO2,2,2,False,NCC(=O)O,C2H5NO2,C2H5NO2,C2H5NO2,K,True,amine,"amine,carboxylic acid",True,True
alanine,CC(N)C(O)=O,other,,,3,89.09399999999998,C3H7NO2,2,2,False,CC(N)C(=O)O,C3H7NO2,C₃H₇NO₂,C₃H₇NO₂,K,True,amine,"amine,carboxylic acid",True,True
ascorbic acid,OCC(O)C1OC(=O)C(O)=C1O,other,,,6,176.124,C6H8O6,4,1,True,O=C1OC(C(O)CO)C(O)=C1O,C6H8O6,C6H8O6,C6H8O6,G,True,carboxylic acid,"alcohol,alkene,ester",False,False
ethylene oxide,C1CO1,other,,,2,44.053,C2H4O,3,1,True,C1CO1,C2H4O,C2H4O,C2H4O,B,True,alkene,ether,False,False
propylene oxide,CC1CO1,other,,,3,58.08,C3H6O,3,1,True,CC1CO1,C3H6O,C₃H₆O,C₃H₆O,I.,True,ether,ether,True,True
ibuprofen,CC(C)Cc1ccc(C(C)C(O)=O)cc1,other,,,13,206.285,C13H18O2,3,3,False,CC(C)Cc1ccc(C(C)C(=O)O)cc1,C13H18O2,C13H18O2,C13H18O2,J,True,amide,"aromatic,carboxylic acid",False,False
adrenaline,CNCC(O)c1ccc(O)c(O)c1,other,,,9,183.207,C9H13NO3,1,1,False,CNCC(O)c1ccc(O)c(O)c1,C9H13NO3,C9H13NO3,C9H13NO3,K,True,amine,"alcohol,amine,aromatic",True,True
testosterone,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,other,,,19,288.431,C19H28O2,1,1,False,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,C19H28O2,C19H28O2,C19H28O2,K,True,amine,"alcohol,alkene,ketone",False,False
valine,CC(C)C(N)C(O)=O,other,,,5,117.14799999999998,C5H11NO2,2,2,False,CC(C)C(N)C(=O)O,C5H11NO2,C5H11NO2,C5H11NO2,K,True,amine,"amine,carboxylic acid",True,True
leucine,CC(C)CC(N)C(O)=O,other,,,6,131.17499999999998,C6H13NO2,3,3,False,CC(C)CC(N)C(=O)O,C6H13NO2,C6H13NHO2,C6H13NHO2,J,False,amide,"amine,carboxylic acid",False,False
proline,OC(=O)C1CCCN1,other,,,5,115.13200000000002,C5H9NO2,2,2,False,O=C(O)C1CCCN1,C5H9NO2,C5H9NO2,C5H9NO2,K,True,amine,"amine,carboxylic acid",True,True
serine,OCC(N)C(O)=O,other,,,3,105.093,C3H7NO3,2,2,False,NC(CO)C(=O)O,C3H7NO3,C3H7NO2,C3H7NO2,K,False,amine,"alcohol,amine,carboxylic acid",True,False
threonine,CC(O)C(N)C(O)=O,other,,,4,119.12,C4H9NO3,3,3,False,CC(O)C(N)C(=O)O,C4H9NO3,C4H9NO3,C4H9NO3,K,True,amine,"alcohol,amine,carboxylic acid",True,True
cysteine,SCC(N)C(O)=O,other,,,3,121.161,C3H7NO2S,3,3,False,NC(CS)C(=O)O,C3H7NO2S,C4H9NO2S,C4H9NO2S,K,False,amine,"amine,carboxylic acid",True,False
methionine,CSCCC(N)C(O)=O,other,,,5,149.215,C5H11NO2S,3,3,False,CSCCC(N)C(=O)O,C5H11NO2S,C5H11NO2S,C5H11NO2S,K,True,amine,"amine,carboxylic acid",True,True
lysine,NCCCCC(N)C(O)=O,other,,,6,146.19,C6H14N2O2,2,2,False,NCCCCC(N)C(=O)O,C6H14N2O2,C6H14N2O2,C6H14N2O2,K,True,amine,"amine,carboxylic acid",True,True
arginine,NC(=N)NCCCC(N)C(O)=O,other,,,6,174.204,C6H14N4O2,2,2,False,N=C(N)NCCCC(N)C(=O)O,C6H14N4O2,C6H14N4O2,C6H14N4O2,K,True,amine,"amine,carboxylic acid",True,True
glutamic acid,OC(=O)CCC(N)C(O)=O,other,,,5,147.13000000000002,C5H9NO4,3,1,True,NC(CCC(=O)O)C(=O)O,C5H9NO4,C₅H₉NO₄,C₅H₉NO₄,G,True,carboxylic acid,"amine,carboxylic acid",True,True
fructose,OCC(O)C(O)C(O)C(=O)CO,other,,,6,180.156,C6H12O6,2,2,False,O=C(CO)C(O)C(O)C(O)CO,C6H12O6,C6H12O6,C6H12O6,F,True,ketone,"alcohol,ketone",True,True
ribose,OCC(O)C(O)C(O)C=O,other,,,5,150.13,C5H10O5,2,2,False,O=CC(O)C(O)C(O)CO,C5H10O5,C5H10O5,C5H10O5,K,True,amine,"alcohol,aldehyde",False,False
estradiol,CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O,other,,,18,272.388,C18H24O2,3,3,False,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,C18H24O2,C18H24O2,C18H24O2,J,True,amide,"alcohol,aromatic",False,False
dimethyl sulfide,CSC,other,,,2,62.137,C2H6S,4,2,True,CSC,C2H6S,(CH₃)₂S,(CH₃)₂S,I.,True,ether,inorganic,False,False
diethyl sulfide,CCSCC,other,,,4,90.191,C4H10S,4,2,True,CCSCC,C4H10S,C2H6S,C2H6S,I.,False,ether,inorganic,False,False
sulfolane,O=S1(=O)CCCC1,other,,,4,120.173,C4H8O2S,3,3,False,O=S1(=O)CCCC1,C4H8O2S,C4H8O2S,C4H8O2S,J,True,amide,inorganic,False,False
isoprene,CC(=C)C=C,alkene,,,5,68.11900000000001,C5H8,3,3,False,C=CC(=C)C,C5H8,C5H8,C5H8,B,True,alkene,alkene,True,True
butadiene,C=CC=C,alkene,,,4,54.09199999999999,C4H6,3,3,False,C=CC=C,C4H6,C4H6,C4H6,B,True,alkene,alkene,True,True
acetylene,C#C,alkene,,,2,26.038,C2H2,3,3,False,C#C,C2H2,C2H2,C2H2,C,True,alkyne,alkyne,True,True
propyne,C#CC,alkene,,,3,40.065,C3H4,2,2,False,C#CC,C3H4,C₃H₄,C₃H₄,C,True,alkyne,alkyne,True,True
limonene,CC(=C)C1CCC(C)=CC1,alkene,,,10,136.238,C10H16,3,3,False,C=C(C)C1CC=C(C)CC1,C10H16,C10H16,C10H16,B,True,alkene,alkene,True,True
pinene,CC1=CCC2CC1C2(C)C,alkene,,,10,136.238,C10H16,2,2,False,CC1=CCC2CC1C2(C)C,C10H16,C₁₀H₁₆,C₁₀H₁₆,B,True,alkene,alkene,True,True
